File,LineNumber,MatchedTerm,Classification,LineSnippet,Notes
README.md,16,diagnostic,corrected educational terminology,> **Educational & Non-Diagnostic Disclaimer:**,Standardized educational performance metric and support scaffold
README.md,17,diagnostic,corrected educational terminology,> This application provides educational language support and research-oriented performance tracking. It is **not a diagnostic instrument** a,Standardized educational performance metric and support scaffold
README.md,27,CLI,valid screening terminology,| **DLD Risk Indicator** | **Component 1** / Authorized Clinician | **No** | Stored as a **read-only screening snapshot** (`screening_risk_l,Component 1 owned DLD risk screening indicator (read-only snapshot)
README.md,33,recommended_support_level,corrected educational terminology,"| **Educational Support Level** | **This Component** | **Yes** | Calculates `recommended_support_level` (`mild`, `moderate`, `strong`) for s",Standardized educational performance metric and support scaffold
README.md,35,clinical,corrected educational terminology,| **Clinical Diagnosis** | **Qualified Expert** | **Never** | Clinical diagnoses are outside the software's scope. |,System architectural and educational terminology documentation
README.md,98,clinical,corrected educational terminology,"- **Recommended Support Level**: Continuously recalculates `recommended_support_level` (`mild`, `moderate`, `strong`) for pedagogical adapta",Standardized educational performance metric and support scaffold
README.md,107,clinical,corrected educational terminology,"- Distraction-free, friendly child view strictly hiding all risk levels, performance scores, grammar error codes, and clinical terms.",System architectural and educational terminology documentation
README.md,226,CLI,corrected educational terminology,│   │   ├── services/api.js        # API Client & Integration Endpoints,System architectural and educational terminology documentation
README.md,240,clinical,corrected educational terminology,The performance indicators are derived from interactions within this application and are intended to support educational personalization and,Standardized educational performance metric and support scaffold
RESEARCH_README.md,18,clinical,research quotation/reference,"3. **Enforces strict child safety & anti-leakage**: Enforces $\le 8\text{--}10$ words target sentence length (maximum 12 words), zero puniti","Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,20,CLI,research quotation/reference,5. **Provides formal scientific evaluation**: Incorporates a 5-dimension Likert expert evaluation rubric and one-click modular data packagin,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,24,clinical,research quotation/reference,## 2. Clinical & Pedagogical Framework,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,29,clinical,research quotation/reference,| Constraint | Policy Boundary | Clinical Rationale |,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,36,diagnostic,research quotation/reference,"| **Jargon Privacy** | Clinical codes strictly hidden from child | Diagnostic codes (`missing_preposition`, `pronoun_case_error`) are resear","Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,61,CLI,research quotation/reference,"|  - 3-Attempt Retry Machine - External Payloads (1,3,4) - Dataset Export CLI        |","Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,87,clinical,research quotation/reference,All adaptations can be evaluated by clinical and pedagogical experts on a 1–5 Likert scale:,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,109,CLI,research quotation/reference,The platform provides complete data export capabilities via `GET /api/export/...` and the CLI tool `scripts/export_benchmark_dataset.py`.,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,169,clinical,research quotation/reference,| `comments` | Text | Qualitative clinical feedback |,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,182,CLI,research quotation/reference,### 2. Exporting Research Datasets via CLI,"Academic research paper framing, researcher documentation, or expert evaluation"
RESEARCH_README.md,202,CLI,research quotation/reference,"- **""Evaluation & Research""** tab: Live 5-dimension Likert scoring, aggregate benchmark radar/bar charts, and one-click ZIP/CSV export cente","Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,13,diagnostic,research quotation/reference,"- **Punitive & Clinical Feedback**: Cold diagnostic messages (*""Incorrect syntax""*, *""You failed""*) that induce frustration and educational ","Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,22,diagnostic,research quotation/reference,"4. **Enforces Strict Child Safety & Anti-Leakage**: Blocks answers, enforces sentence length constraints ($\le 8\text{--}10$ words, strict m","Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,23,clinical,research quotation/reference,"5. **Dispatches Multi-System Payloads**: Bridges child-friendly text, Web Speech audio, Augmented Reality (AR) spatial cues, and clinical an","Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,49,diagnostic,research quotation/reference,"5. **Diagnostic Privacy**: Clinical error codes (e.g., `dld_omitted_preposition`, `low_speech_confidence`) are logged exclusively for resear","Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,113,clinical,research quotation/reference,│              STAGE 8: CLINICAL EVALUATION & DATA PACKAGING                     │,"Academic research paper framing, researcher documentation, or expert evaluation"
SYSTEM_CONCEPT.md,115,CLI,research quotation/reference,"│  - One-Click Data Export: CSV, JSON, and complete Research ZIP Bundles         │","Academic research paper framing, researcher documentation, or expert evaluation"
