current_path_or_table,record_count,current_purpose,data_owner,proposed_layer,contains_personal_data,contains_raw_response,contains_protected_answer,is_simulated,research_eligible,source_or_provenance,migration_action,target_path,validation_notes
data/application_tasks/seed_tasks.json,40,"Seed library of learning activities across 4 domains (vocab, grammar, comp, instruction)",component_3,adaptation_test_set/en/component3_local_samples,no,no,yes,true,false,team_authored_mvp_v2,transform_and_copy,data/adaptation_test_set/en/component3_local_samples/c3_local_tasks.json,Contains protected answers; child-facing interfaces must mask them
data/development_scenarios/seed_scenarios.json,20,Simulation scenarios coupling learners and tasks for multi-attempt state testing,component_3,adaptation_test_set/draft_contracts,no,no,yes,true,false,team_authored_test_scenarios,retain_as_test_fixture,data/adaptation_test_set/draft_contracts/development_scenarios.json,Synthetic testing fixture for developer playground
data/grammar_test_cases/seed_grammar_cases.json,8,Benchmark child transcript grammar evaluation cases with error annotations,component_3,simplification_corpus/annotations,no,no,no,true,false,linguistic_expert_rubric,transform_and_copy,data/simplification_corpus/annotations/grammar_error_annotations.json,Annotated grammatical error patterns
data/learner_profiles/seed_learners.json,5,Seed simulated learner profiles with Component 1 screening risk snapshots,component_1,excluded_from_reusable_datasets,pseudonymous_only,no,no,true,false,simulated_component1_profiles,retain_in_database_only,backend/app/database/seed.py,Kept strictly outside public/reusable dataset layers
data/vocabulary_dictionary/seed_vocabulary.json,18,Age-tiered vocabulary simplification substitution lexicon (Tier 1/2),component_3,lexicons/en,no,no,no,false,false,lexical_simplification_dictionary,copy,data/lexicons/en/tiered_vocabulary_lexicon.json,Tiered vocabulary lexicon for word substitution
data/integration_fixtures/component1_inputs/,5,Simulated Component 1 screening profile input contracts,component_1,adaptation_test_set/en/component1_samples,pseudonymous_only,no,no,true,false,component1_mock_contracts,copy_and_map,data/adaptation_test_set/en/component1_samples/,Component 1 owned DLD risk screening profiles
data/integration_fixtures/component2_ar_expected/,1,Expected Augmented Reality 3D spatial instruction contracts for Component 2,component_2_ar,adaptation_test_set/en/component2_ar_samples,no,no,no,true,false,component2_ar_mock_contracts,copy_and_map,data/adaptation_test_set/en/component2_ar_samples/,Preserves AR 3D object cues and action sequencing
data/research_exports/,6,Historical Stage 8/11 research experiment dumps (CSV/JSON/ZIP),component_3,interaction_dataset/deidentified_exports,pseudonymous_only,yes,yes,true,false,historical_evaluation_exports,retain_in_private_storage,data/interaction_dataset/deidentified_exports/,Historical benchmark exports; kept ignored by Git
db_table:learner_profiles,5,Relational database storage for learner_profiles,component_1,excluded_from_reusable_datasets,pseudonymous_only,no,no,true,false,relational_db_sqlite,retain_in_database_only,DB Operational Storage,Database table learner_profiles is operational source of truth
db_table:tasks,40,Relational database storage for tasks,component_3,adaptation_test_set/en/component3_local_samples,no,no,yes,true,false,relational_db_sqlite,transform_and_copy,data/adaptation_test_set/en/component3_local_samples/,Database table tasks is operational source of truth
db_table:activity_sessions,56,Relational database storage for activity_sessions,component_3,interaction_dataset/private,pseudonymous_only,yes,no,true,false,relational_db_sqlite,export_private_snapshot,data/interaction_dataset/private/,Database table activity_sessions is operational source of truth
db_table:attempts,117,Relational database storage for attempts,component_3,interaction_dataset/private,pseudonymous_only,yes,no,true,false,relational_db_sqlite,export_private_snapshot,data/interaction_dataset/private/,Database table attempts is operational source of truth
db_table:task_results,12,Relational database storage for task_results,component_3,interaction_dataset/private,pseudonymous_only,yes,no,true,false,relational_db_sqlite,export_private_snapshot,data/interaction_dataset/private/,Database table task_results is operational source of truth
db_table:adaptations,78,Relational database storage for adaptations,component_3,simplification_corpus/en/draft,no,no,no,true,false,relational_db_sqlite,extract_simplification_pairs,data/simplification_corpus/en/draft/,Database table adaptations is operational source of truth
db_table:validation_results,93,Relational database storage for validation_results,component_3,simplification_corpus/annotations,no,no,no,true,false,relational_db_sqlite,extract_annotations,data/simplification_corpus/annotations/,Database table validation_results is operational source of truth
db_table:expert_evaluations,14,Relational database storage for expert_evaluations,component_3,interaction_dataset/private,pseudonymous_only,no,no,true,false,relational_db_sqlite,retain_in_database_only,DB Operational Storage,Database table expert_evaluations is operational source of truth
db_table:experiment_runs,53,Relational database storage for experiment_runs,component_3,interaction_dataset/private,pseudonymous_only,yes,no,true,false,relational_db_sqlite,retain_in_database_only,DB Operational Storage,Database table experiment_runs is operational source of truth
db_table:language_observations,44,Relational database storage for language_observations,component_3,simplification_corpus/annotations,no,no,no,true,false,relational_db_sqlite,extract_annotations,data/simplification_corpus/annotations/,Database table language_observations is operational source of truth
db_table:integration_events,125,Relational database storage for integration_events,component_3,interaction_dataset/private,pseudonymous_only,no,no,true,false,relational_db_sqlite,retain_in_database_only,DB Operational Storage,Database table integration_events is operational source of truth
