attempt_id,experiment_run_id,adaptation_id,attempt_number,instruction_shown,speech_transcript,speech_confidence,concept_result,response_time_ms,completion_status,created_at
cc397afb-62ed-48f4-a184-a293f53ca4c2,ff7bb376-21a5-4001-a934-5b641ddc16a7,4e63869c-0c78-43ba-a903-ec1e1be3e12d,1,"First, pack your crayons in the box.",I put crayons.,0.9,correct,12000,completed,2026-09-16T18:03:23.668294
260dcd10-a2ad-47e5-bff5-31ef49e7f92a,b15e8ce5-0efc-411a-aed4-07571a738786,9a35fa24-44fa-447f-869a-69c31c361ac2,1,"First, pack your crayons in the box.",Paper on rug.,0.88,correct,14000,completed,2026-09-16T18:04:15.562842
d4ef5b49-1eaf-4706-8094-da0ef94212e0,93f2c2cb-5144-4232-976b-35b891add344,1296e149-1a55-43ab-987d-2d94399705e1,1,"First, pack your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-16T18:05:14.907737
549c7358-6df3-4e79-bc37-47e40f75b769,93f2c2cb-5144-4232-976b-35b891add344,798618ee-863b-45ad-b9af-826a704ee953,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-16T18:05:14.924873
2498a2be-7f17-4db8-8e9c-5a871d9762fd,446751c0-75a9-4401-9a0c-114f8613f127,a8d302d2-9bbf-4b57-9c53-371374589dbc,1,"First, pack your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-16T18:12:25.025615
87e9f093-82a6-4b5a-b9b2-9a372a5b9f8b,446751c0-75a9-4401-9a0c-114f8613f127,d31390c8-289d-4356-9aab-b733af3db733,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-16T18:12:25.038715
71b652df-e569-44ec-9a75-5c76b23458f1,40d1440f-2415-4b35-984a-3164a17bb507,de9e94ed-749f-406a-8eb8-4ca19e8b4d90,1,"First, pack your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-17T13:44:18.122600
e36564eb-cf42-4167-b164-cb3bfb79e055,40d1440f-2415-4b35-984a-3164a17bb507,8a6dc24a-ee70-44a9-8028-29b26c0c62c2,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-17T13:44:18.140635
09907c61-966d-49b9-b9d9-6994f5668e93,95a08420-6e0c-4f14-8504-48be70249ca8,07f085c0-48f6-48d2-8ec3-fa55e465e426,1,"First, pack your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-17T13:46:29.387372
2edaaa6d-19d8-4814-bb67-09e5a9d6c5b7,95a08420-6e0c-4f14-8504-48be70249ca8,f67bc303-263f-4d7d-85cc-b6a3ee9c60b8,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-17T13:46:29.409130
d9fc93b8-9eec-4624-b890-b78562eca17e,f3bc87ea-203a-478f-ba6c-f92fe6b4fcbd,3d0e24a9-bf19-44fa-bb98-d18e633baa53,1,"First, pack your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-17T13:49:54.743387
d18b934a-dbb3-4d32-ba8e-3e4050e905d5,f3bc87ea-203a-478f-ba6c-f92fe6b4fcbd,11007fae-09b2-4f10-8802-2c176a5daf1e,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-17T13:49:54.770630
0cc3d65e-1805-4985-9eb3-02283dce9224,159a3830-1ced-4076-8cbe-97c5d5321b6e,f5da0d4a-45f7-4d72-be60-2e1d7433e766,1,"First, pack your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-17T13:53:04.562509
89ad50ac-0f8c-4c18-b72a-de08c9ca1a9f,159a3830-1ced-4076-8cbe-97c5d5321b6e,9db97810-4ea2-4951-83cd-6c26dce062af,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-17T13:53:04.587409
cbb21542-e878-4aa6-8bd4-65de2c130ef9,c3de7838-05e6-439c-bb34-9963f8cbde25,381fb8d0-71db-466c-89b8-d1fcfa948490,1,"First, put your crayons in the box.",Paper on rug.,0.88,incorrect,14000,completed,2026-09-17T14:12:22.873579
2f804f6e-82b0-48a2-9540-1b92decc5204,c3de7838-05e6-439c-bb34-9963f8cbde25,09b710e1-d606-44eb-b3c4-5112ab750173,2,Put the paper in the green bin.,"crayons in box, paper in green bin",0.95,correct,9000,completed,2026-09-17T14:12:22.892788
